,0
0,@feitoz4_ fazendo o mesmo só que miojo e coca cola
1,RT @AkrabalrGiremez: @aylinbisus Abla yalnız ikiside kola bunların coca cola ya da pepsi olucak o
2,@wholdetty @ticonita77 Debieron de echarle algo a mi coca cola. Menudo viaje!! jajaja
3,... Dit Monsieur Coca-Cola 😜😜😜 un véritable palais d'expert 😂😂😂 https://t.co/j6gL7rfcME https://t.co/shxhzeP97K
4,RT @wingsformila: El guiso de lentejas es de lo más rico que existe y si no te gusta tenés el paladar de un nene de 5 que vive a hamburgues…
5,@stefappriou #GAFA il ne sera jamais trop tard pour lâcher la culture Coca-Cola.
6,RT @AntonioMaestre: @MarcosdeQuinto 821 trabajadores de Coca Cola sufrieron la incapacidad gestora de usted y sus compañeros directivos. So…
7,"Tengo ganas de tomar Coca-Cola, pero si me tomo una Coca-Cola a esta hora y teniendo que viajar voy a terminar cagandome encima"
8,"RT @rthur013: — Me duele la cabeza

🇧🇷Toma una Aspirina
🇨🇦Toma una Aspirina
🇺🇸Toma una Aspirina
🇺🇾Toma una Aspirina
🇪🇸Toma una Aspirina
🇱🇹T…"
9,RT @AntonioMaestre: @MarcosdeQuinto 821 trabajadores de Coca Cola sufrieron la incapacidad gestora de usted y sus compañeros directivos. So…
10,"RT @aprilgains: Someone said “the only time when Kenyans look good is when they are packaged in Coca-Cola/Pepsi bottle” 😢
#KenyavsNigeria h…"
11,"RT @HarvardBiz: If you’re not prepared to fail, you’re not prepared to learn. https://t.co/moF6CWZJZy"
12,RT @AntonioMaestre: @MarcosdeQuinto 821 trabajadores de Coca Cola sufrieron la incapacidad gestora de usted y sus compañeros directivos. So…
13,"RT @despuesdevos: cómo va ser COCA COLA lo primero q le metas a tu cuerpo a la mañana, vos te queres cagar muriendo ?"
14,Al parecer aquí en la parada nunca han visto una gente desayunándose con coca cola que me están mirando tan raro 😹😹
15,Minha madrinha  ficar indignada pq eu comi 2 pedasso de pizza  com coca cola   no cafe da manhã  .
16,"RT @Reporte_Indigo: La Coca Cola en sí ya es un producto considerado como muy dañino, y ahora se ha  revelado que su versión Cherry tiene e…"
17,RT @guillemarvel: Agua &gt; Coca-Cola
18,"RT @HarvardBiz: If you’re not prepared to fail, you’re not prepared to learn. https://t.co/moF6CWZJZy"
19,"RT @ThrowbacksBTS: BTS a year ago today with actor Park Bogum ’Behind Cut for Coca-Cola’
#MTVHottest BTS @BTS_twt https://t.co/81RZW4PcgI"
