,0
0,RT @VEJA: Dona das rede Frango Assado anuncia fusão com detentora de Pizza Hut e KFC https://t.co/kJ0QjDasWH
1,"Frango Assado vai ganhar os shopping centers
https://t.co/SBwYxMSgPw"
2,Hair time loooool comic cons in animals is
3,@Mama2bigmen The daddy’s coat of arms? Supersized fries crossed with a KFC drumstick over a beer and a pack of fags.
4,I want some KFC
5,@enjoievan @verdelishJP I bless the KFC down in Aaaaafricaaaaa
6,RT @VEJA: Dona das rede Frango Assado anuncia fusão com detentora de Pizza Hut e KFC https://t.co/kJ0QjDasWH
7,@CALLlSTA @kfcgaming save the world with kfc
8,RT @OfficialJoelF: IT’S REAL: The only @KFC that serves flan is where? HIALEAH. Stopped by after reading the piece by @Miamicom @Carlos_Fri…
9,"Mau tau tentang Oriflame,cari baju dan kue lebaran datang ke stand tiaranegozi di Bazar Bencoolen Mall samping KFC. https://t.co/fidMvQ1Pj6"
10,"This KFC is playing jams 
First Interstate Love Song, and now, The Climb"
11,"@MRistochat @Yassa_Poulet @oczkzkz Oh what ? Perso c’est mon directeur, rip (il est pas mort il a juste changé de K… https://t.co/nHhEouRPsS"
12,more upset about me asking for it! Then I was told to pull up and at this location near the drive through there isn… https://t.co/0LvJbMQTxC
13,"@rjcrock2003 If it walks like a duck, and poops while eating KFC, it is what it is.....a chicken eating racist."
14,"RT @ThosaiThaiSong: McD &amp; KFC super hot chicken, ultra hot Korean ramen, cili padi fried rice, ghost pepper nasi kukus...for a country that…"
15,It’s crazy I never really eat kfc.. eat that shit and get food poisoning. Never again!
16,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
17,Hoy quiero comer en burger o KFC y  los que están conmigo en cierre no me caen muy bien como para que me segundeen no puedo ni gordear 😣😣😣
18,RT @mjendelouve: Sigh kabibili lng mnl48 clearfile at magic mug na sela. Kng may nakakita sa kfc or foodcourt ng starmall shaw pa pm naman…
19,@AN1MOCS Knocking out a team necause of a 2v4 retake taking to OT feels like kfc might bucket inside me
20,"RT @ThosaiThaiSong: McD &amp; KFC super hot chicken, ultra hot Korean ramen, cili padi fried rice, ghost pepper nasi kukus...for a country that…"
21,RT @mistrzpolikarp_: ile mieliście lat kiedy ogarnęliście że kfc jest od kurwa frytki cudaki
22,@hejinseook bk e kfc
23,"KFC
1353 El Camino Real, Santa Clara, CA 95050
(408) 244-7862
https://t.co/yIKfa3TGIl"
24,RT @MMFlint: Hey @realDonaldTrump — I’ll be the 1st guest tonight on Seth Myers late nite show on NBC! I’ll have more exciting news for you…
