,0
0,"@salmonpjmm 3 : pepsi!!
7 : เพลงสากลแน่นอนอยู่แล้ว🎶"
1,@Pepsi_Cola37564 でも演出楽しめぬ(笑)
2,RT @Saryy9981: https://t.co/Fhf5JQdiF2
3,@light_pawapoke @mogamiemon https://t.co/7WgDRjZg5R
4,RT @Name_Less_417: 겨울 식량난 온 라이너스 https://t.co/vmrYkt62Ej
5,@mogamiemon https://t.co/F0hwBQSEtQ
6,@mogamiemon @pepsi_stone 照れるぜ( 'ω' )
7,@JA4RSGE8RS まじかー
8,@Lays_pepsi @MoeedNj https://t.co/Du7XfkU75I
9,Pepsi Hawks now at 101/5 with 17 overs chasing 102/9 with 18overs
10,@kenta_works あれはほんとに神台っすよ！！
11,The fight to get @PepsiCo to cut ties with conflict #palmoil company @Indofood just got personal. Tell… https://t.co/fUuaZGvTes
12,damn Bilderberg group keeping quaker oats marketed as quaker outs despite it being owned by pepsi.
13,@Pepsi_Cola37564 困ったときに千円ほりこむやつ！
14,@Valtimor2 @BurbujaEspumosa @quantumearthh @eliowtapicks @ProgresReves @Slaanesh_Adria Al igual que la urss le comp… https://t.co/D6JAA6zg3d
15,19. if there’re actually people who prefer pepsi y’all are another level of tasteless
16,＼ #本田とカードバトル ／ #私は本田のBを引く @pepsi_jpn をフォローして 1日1回、 #本田圭佑 とカードバトル！ 勝てば、 #ペプシ #ジャパンコーラ １ケース当たる！計1000名様！ 【7/22まで #毎日挑戦… https://t.co/4Yq8yHqUK2
17,＼ #本田とカードバトル ／ #私は本田のAを引く @pepsi_jpn をフォローして 1日1回、 #本田圭佑 とカードバトル！ 勝てば、 #ペプシ #ジャパンコーラ １ケース当たる！計1000名様！ 【7/22まで #毎日挑戦… https://t.co/palAXHCKBL
18,"RT @GOT7Official: GOT7 JACKSON X Pepsi FOR THE LOVE OF IT
https://t.co/PGipjh2Nux

@pepsi
#GOT7 #갓세븐
#Jackson #잭슨
#GOT7_SPINNINGTOP
#GOT7_B…"
19,＼ #本田とカードバトル ／ #私は本田のAを引く @pepsi_jpn をフォローして 1日1回、 #本田圭佑 とカードバトル！ 勝てば、 #ペプシ #ジャパンコーラ １ケース当たる！計1000名様！ 【7/22まで #毎日挑戦… https://t.co/cYFGCz6pC5
